PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
 1.0000e-03    0.0000e+00   -2.4472e+00    2.2270e+00
 2.0000e-03    6.7620e+00   -2.4090e+00    2.2077e+00
 3.0000e-03    1.3246e+01   -2.3518e+00    2.1788e+00
 4.0000e-03    1.9455e+01   -2.2957e+00    2.1505e+00
 5.0000e-03    2.5392e+01   -2.2407e+00    2.1227e+00
 6.0000e-03    3.1060e+01   -2.1870e+00    2.0955e+00
 7.0000e-03    3.6462e+01   -2.1345e+00    2.0690e+00
 8.0000e-03    4.1603e+01   -2.0833e+00    2.0431e+00
 9.0000e-03    4.6488e+01   -2.0336e+00    2.0179e+00
 1.0000e-02    5.1123e+01   -1.9852e+00    1.9935e+00
 1.1000e-02    5.5514e+01   -1.9383e+00    1.9697e+00
 1.2000e-02    5.9669e+01   -1.8929e+00    1.9467e+00
 1.3000e-02    6.3595e+01   -1.8490e+00    1.9244e+00
 1.4000e-02    6.7300e+01   -1.8067e+00    1.9029e+00
 1.5000e-02    7.0794e+01   -1.7658e+00    1.8821e+00
 1.6000e-02    7.4084e+01   -1.7265e+00    1.8621e+00
 1.7000e-02    7.7181e+01   -1.6886e+00    1.8428e+00
 1.8000e-02    8.0092e+01   -1.6523e+00    1.8243e+00
 1.9000e-02    8.2829e+01   -1.6174e+00    1.8065e+00
 2.0000e-02    8.5399e+01   -1.5840e+00    1.7894e+00
 2.1000e-02    8.7813e+01   -1.5521e+00    1.7731e+00
 2.2000e-02    9.0079e+01   -1.5215e+00    1.7574e+00
 2.3000e-02    9.2206e+01   -1.4923e+00    1.7424e+00
 2.4000e-02    9.4202e+01   -1.4643e+00    1.7281e+00
 2.5000e-02    9.6077e+01   -1.4376e+00    1.7143e+00
 2.6000e-02    9.7837e+01   -1.4122e+00    1.7012e+00
 2.7000e-02    9.9491e+01   -1.3879e+00    1.6886e+00
 2.8000e-02    1.0105e+02   -1.3647e+00    1.6766e+00
 2.9000e-02    1.0251e+02   -1.3425e+00    1.6652e+00
 3.0000e-02    1.0388e+02   -1.3214e+00    1.6542e+00
 3.1000e-02    1.0517e+02   -1.3013e+00    1.6437e+00
 3.2000e-02    1.0639e+02   -1.2821e+00    1.6337e+00
 3.3000e-02    1.0753e+02   -1.2639e+00    1.6241e+00
 3.4000e-02    1.0861e+02   -1.2464e+00    1.6150e+00
 3.5000e-02    1.0963e+02   -1.2299e+00    1.6063e+00
 3.6000e-02    1.1059e+02   -1.2141e+00    1.5979e+00
 3.7000e-02    1.1149e+02   -1.1990e+00    1.5900e+00
 3.8000e-02    1.1234e+02   -1.1847e+00    1.5823e+00
 3.9000e-02    1.1314e+02   -1.1711e+00    1.5751e+00
 4.0000e-02    1.1390e+02   -1.1581e+00    1.5681e+00
 4.1000e-02    1.1462e+02   -1.1457e+00    1.5615e+00
 4.2000e-02    1.1530e+02   -1.1340e+00    1.5552e+00
 4.3000e-02    1.1594e+02   -1.1227e+00    1.5491e+00
 4.4000e-02    1.1655e+02   -1.1121e+00    1.5433e+00
 4.5000e-02    1.1713e+02   -1.1019e+00    1.5378e+00
 4.6000e-02    1.1768e+02   -1.0922e+00    1.5324e+00
 4.7000e-02    1.1820e+02   -1.0829e+00    1.5274e+00
 4.8000e-02    1.1870e+02   -1.0741e+00    1.5225e+00
 4.9000e-02    1.1917e+02   -1.0656e+00    1.5178e+00
 5.0000e-02    1.1962e+02   -1.0576e+00    1.5133e+00
 5.1000e-02    1.2005e+02   -1.0498e+00    1.5089e+00
 5.2000e-02    1.2047e+02   -1.0424e+00    1.5047e+00
 5.3000e-02    1.2086e+02   -1.0353e+00    1.5007e+00
 5.4000e-02    1.2124e+02   -1.0284e+00    1.4968e+00
 5.5000e-02    1.2160e+02   -1.0218e+00    1.4930e+00
 5.6000e-02    1.2195e+02   -1.0154e+00    1.4893e+00
 5.7000e-02    1.2229e+02   -1.0092e+00    1.4858e+00
 5.8000e-02    1.2261e+02   -1.0033e+00    1.4823e+00
 5.9000e-02    1.2293e+02   -9.9749e-01    1.4789e+00
 6.0000e-02    1.2324e+02   -9.9187e-01    1.4757e+00
 6.1000e-02    1.2353e+02   -9.8643e-01    1.4725e+00
 6.2000e-02    1.2382e+02   -9.8114e-01    1.4693e+00
 6.3000e-02    1.2410e+02   -9.7600e-01    1.4663e+00
 6.4000e-02    1.2437e+02   -9.7100e-01    1.4633e+00
 6.5000e-02    1.2463e+02   -9.6615e-01    1.4604e+00
 6.6000e-02    1.2489e+02   -9.6143e-01    1.4576e+00
 6.7000e-02    1.2514e+02   -9.5684e-01    1.4548e+00
 6.8000e-02    1.2538e+02   -9.5240e-01    1.4521e+00
 6.9000e-02    1.2562e+02   -9.4806e-01    1.4495e+00
 7.0000e-02    1.2585e+02   -9.4383e-01    1.4469e+00
 7.1000e-02    1.2607e+02   -9.3971e-01    1.4444e+00
 7.2000e-02    1.2629e+02   -9.3567e-01    1.4419e+00
 7.3000e-02    1.2651e+02   -9.3174e-01    1.4395e+00
 7.4000e-02    1.2672e+02   -9.2789e-01    1.4370e+00
 7.5000e-02    1.2692e+02   -9.2412e-01    1.4347e+00
 7.6000e-02    1.2713e+02   -9.2043e-01    1.4324e+00
 7.7000e-02    1.2732e+02   -9.1681e-01    1.4301e+00
 7.8000e-02    1.2752e+02   -9.1325e-01    1.4278e+00
 7.9000e-02    1.2771e+02   -9.0975e-01    1.4256e+00
 8.0000e-02    1.2789e+02   -9.0631e-01    1.4234e+00
 8.1000e-02    1.2808e+02   -9.0293e-01    1.4212e+00
 8.2000e-02    1.2826e+02   -8.9959e-01    1.4191e+00
 8.3000e-02    1.2843e+02   -8.9630e-01    1.4170e+00
 8.4000e-02    1.2861e+02   -8.9305e-01    1.4149e+00
 8.5000e-02    1.2878e+02   -8.8985e-01    1.4128e+00
 8.6000e-02    1.2895e+02   -8.8667e-01    1.4108e+00
 8.7000e-02    1.2912e+02   -8.8352e-01    1.4087e+00
 8.8000e-02    1.2929e+02   -8.8040e-01    1.4067e+00
 8.9000e-02    1.2946e+02   -8.7730e-01    1.4046e+00
 9.0000e-02    1.2963e+02   -8.7422e-01    1.4026e+00
 9.1000e-02    1.2979e+02   -8.7115e-01    1.4006e+00
 9.2000e-02    1.2995e+02   -8.6807e-01    1.3986e+00
 9.3000e-02    1.3012e+02   -8.6500e-01    1.3966e+00
 9.4000e-02    1.3028e+02   -8.6193e-01    1.3946e+00
 9.5000e-02    1.3045e+02   -8.5885e-01    1.3925e+00
 9.6000e-02    1.3061e+02   -8.5577e-01    1.3905e+00
 9.7000e-02    1.3077e+02   -8.5269e-01    1.3885e+00
 9.8000e-02    1.3093e+02   -8.4958e-01    1.3865e+00
 9.9000e-02    1.3110e+02   -8.4645e-01    1.3844e+00
 1.0000e-01    1.3126e+02   -8.4331e-01    1.3824e+00
 1.0100e-01    1.3142e+02   -8.4018e-01    1.3803e+00
