PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 0.0000e+00    6.7560e+00   -2.4118e+00    2.2157e+00
 1.0000e-03    1.3235e+01   -2.3547e+00    2.1868e+00
 2.0000e-03    1.9439e+01   -2.2987e+00    2.1584e+00
 3.0000e-03    2.5371e+01   -2.2437e+00    2.1307e+00
 4.0000e-03    3.1035e+01   -2.1901e+00    2.1035e+00
 5.0000e-03    3.6434e+01   -2.1377e+00    2.0772e+00
 6.0000e-03    4.1572e+01   -2.0866e+00    2.0513e+00
 7.0000e-03    4.6455e+01   -2.0369e+00    2.0261e+00
 8.0000e-03    5.1088e+01   -1.9886e+00    2.0017e+00
 9.0000e-03    5.5478e+01   -1.9418e+00    1.9779e+00
 1.0000e-02    5.9633e+01   -1.8965e+00    1.9551e+00
 1.1000e-02    6.3559e+01   -1.8526e+00    1.9329e+00
 1.2000e-02    6.7264e+01   -1.8103e+00    1.9113e+00
 1.3000e-02    7.0758e+01   -1.7695e+00    1.8906e+00
 1.4000e-02    7.4049e+01   -1.7302e+00    1.8705e+00
 1.5000e-02    7.7145e+01   -1.6924e+00    1.8515e+00
 1.6000e-02    8.0058e+01   -1.6562e+00    1.8329e+00
 1.7000e-02    8.2795e+01   -1.6214e+00    1.8150e+00
 1.8000e-02    8.5367e+01   -1.5880e+00    1.7980e+00
 1.9000e-02    8.7783e+01   -1.5561e+00    1.7818e+00
 2.0000e-02    9.0052e+01   -1.5255e+00    1.7664e+00
 2.1000e-02    9.2183e+01   -1.4963e+00    1.7511e+00
 2.2000e-02    9.4184e+01   -1.4684e+00    1.7366e+00
 2.3000e-02    9.6064e+01   -1.4416e+00    1.7229e+00
 2.4000e-02    9.7829e+01   -1.4162e+00    1.7100e+00
 2.5000e-02    9.9489e+01   -1.3918e+00    1.6973e+00
 2.6000e-02    1.0105e+02   -1.3686e+00    1.6853e+00
 2.7000e-02    1.0252e+02   -1.3464e+00    1.6738e+00
 2.8000e-02    1.0390e+02   -1.3252e+00    1.6629e+00
 2.9000e-02    1.0520e+02   -1.3050e+00    1.6524e+00
 3.0000e-02    1.0642e+02   -1.2858e+00    1.6422e+00
 3.1000e-02    1.0758e+02   -1.2674e+00    1.6326e+00
 3.2000e-02    1.0866e+02   -1.2499e+00    1.6235e+00
 3.3000e-02    1.0969e+02   -1.2331e+00    1.6146e+00
 3.4000e-02    1.1066e+02   -1.2172e+00    1.6061e+00
 3.5000e-02    1.1157e+02   -1.2020e+00    1.5981e+00
 3.6000e-02    1.1244e+02   -1.1875e+00    1.5903e+00
 3.7000e-02    1.1325e+02   -1.1736e+00    1.5833e+00
 3.8000e-02    1.1403e+02   -1.1604e+00    1.5761e+00
 3.9000e-02    1.1476e+02   -1.1478e+00    1.5691e+00
 4.0000e-02    1.1545e+02   -1.1357e+00    1.5627e+00
 4.1000e-02    1.1611e+02   -1.1242e+00    1.5566e+00
 4.2000e-02    1.1674e+02   -1.1133e+00    1.5506e+00
 4.3000e-02    1.1733e+02   -1.1028e+00    1.5448e+00
 4.4000e-02    1.1790e+02   -1.0927e+00    1.5395e+00
 4.5000e-02    1.1844e+02   -1.0831e+00    1.5342e+00
 4.6000e-02    1.1895e+02   -1.0739e+00    1.5291e+00
 4.7000e-02    1.1944e+02   -1.0651e+00    1.5243e+00
 4.8000e-02    1.1991e+02   -1.0566e+00    1.5198e+00
 4.9000e-02    1.2036e+02   -1.0485e+00    1.5152e+00
 5.0000e-02    1.2079e+02   -1.0407e+00    1.5106e+00
 5.1000e-02    1.2121e+02   -1.0332e+00    1.5064e+00
 5.2000e-02    1.2161e+02   -1.0259e+00    1.5025e+00
 5.3000e-02    1.2199e+02   -1.0189e+00    1.4984e+00
 5.4000e-02    1.2236e+02   -1.0121e+00    1.4946e+00
 5.5000e-02    1.2272e+02   -1.0055e+00    1.4909e+00
 5.6000e-02    1.2307e+02   -9.9907e-01    1.4872e+00
 5.7000e-02    1.2341e+02   -9.9282e-01    1.4836e+00
