  0.	  7.5E-20
  1E-3	  7.5E-20
  0.002	  7.1E-20
  0.003	  6.7E-20
  0.005	  6.1E-20
  0.007	  5.4E-20
  0.0085  5.05E-20
  0.01	  4.6E-20
  0.015	  3.75E-20
  0.02	  3.25E-20
  0.03	  2.5E-20
  0.04	  2.05E-20
  0.05	  1.73E-20
  0.07	  1.13E-20
  0.1     5.9E-21
  0.12	  4E-21
  0.15	  2.3E-21
  0.17	  1.6E-21
  0.2	  1.03E-21
  0.25	  9.1E-22
  0.3	  1.53E-21
  0.35	  2.35E-21
  0.4	  3.3E-21
  0.5	  5.1E-21
  0.7	  8.6E-21
  1	  1.38E-20
  1.2	  1.66E-20
  1.3	  1.82E-20
  1.5	  2.1E-20
  1.7	  2.3E-20
1.9	2.5E-20
2.1	2.8E-20
2.2	2.9E-20
2.5	3.3E-20
2.8	3.8E-20
3	4.1E-20
3.3	4.5E-20
3.6	4.9E-20
4	5.4E-20
4.5	6.1E-20
5	6.7E-20
6	8.1E-20
7	9.6E-20
8	1.17E-19
10	1.5E-19
12	1.52E-19
15	1.41E-19
17	1.31E-19
20	1.1E-19
25	9.45E-20
30	8.74E-20
50	6.9E-20
75	5.85E-20
100	5.25E-20
150	4.24E-20
200	3.76E-20
300	3.02E-20
500	2.1E-20
700	1.64E-20
1000	1.21E-20
1500	8.8E-21
2000	6.6E-21
3000	4.5E-21
5000	3.1E-21
7000	2.3E-21
10000.	1.75E-21
