PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
 1.0000e-03    0.0000e+00   -2.5573e+00    2.4850e+00
 2.0000e-03    8.9188e+00   -2.5085e+00    2.4428e+00
 3.0000e-03    1.7384e+01   -2.4360e+00    2.3800e+00
 4.0000e-03    2.5400e+01   -2.3652e+00    2.3186e+00
 5.0000e-03    3.2975e+01   -2.2963e+00    2.2589e+00
 6.0000e-03    4.0116e+01   -2.2294e+00    2.2008e+00
 7.0000e-03    4.6831e+01   -2.1645e+00    2.1447e+00
 8.0000e-03    5.3132e+01   -2.1019e+00    2.0903e+00
 9.0000e-03    5.9030e+01   -2.0415e+00    2.0380e+00
 1.0000e-02    6.4539e+01   -1.9834e+00    1.9877e+00
 1.1000e-02    6.9674e+01   -1.9277e+00    1.9394e+00
 1.2000e-02    7.4450e+01   -1.8744e+00    1.8931e+00
 1.3000e-02    7.8884e+01   -1.8235e+00    1.8490e+00
 1.4000e-02    8.2994e+01   -1.7751e+00    1.8070e+00
 1.5000e-02    8.6797e+01   -1.7290e+00    1.7670e+00
 1.6000e-02    9.0311e+01   -1.6853e+00    1.7291e+00
 1.7000e-02    9.3556e+01   -1.6439e+00    1.6932e+00
 1.8000e-02    9.6547e+01   -1.6048e+00    1.6593e+00
 1.9000e-02    9.9303e+01   -1.5679e+00    1.6273e+00
 2.0000e-02    1.0184e+02   -1.5331e+00    1.5971e+00
 2.1000e-02    1.0418e+02   -1.5004e+00    1.5687e+00
 2.2000e-02    1.0633e+02   -1.4696e+00    1.5420e+00
 2.3000e-02    1.0830e+02   -1.4407e+00    1.5169e+00
 2.4000e-02    1.1012e+02   -1.4137e+00    1.4934e+00
 2.5000e-02    1.1179e+02   -1.3883e+00    1.4714e+00
 2.6000e-02    1.1333e+02   -1.3645e+00    1.4508e+00
 2.7000e-02    1.1475e+02   -1.3423e+00    1.4315e+00
 2.8000e-02    1.1605e+02   -1.3215e+00    1.4134e+00
 2.9000e-02    1.1725e+02   -1.3021e+00    1.3965e+00
 3.0000e-02    1.1836e+02   -1.2839e+00    1.3807e+00
 3.1000e-02    1.1938e+02   -1.2669e+00    1.3660e+00
 3.2000e-02    1.2032e+02   -1.2510e+00    1.3521e+00
 3.3000e-02    1.2119e+02   -1.2362e+00    1.3392e+00
 3.4000e-02    1.2199e+02   -1.2223e+00    1.3271e+00
 3.5000e-02    1.2274e+02   -1.2093e+00    1.3158e+00
 3.6000e-02    1.2342e+02   -1.1972e+00    1.3053e+00
 3.7000e-02    1.2406e+02   -1.1859e+00    1.2954e+00
 3.8000e-02    1.2465e+02   -1.1753e+00    1.2861e+00
 3.9000e-02    1.2520e+02   -1.1653e+00    1.2775e+00
 4.0000e-02    1.2571e+02   -1.1560e+00    1.2694e+00
 4.1000e-02    1.2619e+02   -1.1473e+00    1.2617e+00
 4.2000e-02    1.2663e+02   -1.1391e+00    1.2546e+00
 4.3000e-02    1.2704e+02   -1.1314e+00    1.2478e+00
 4.4000e-02    1.2743e+02   -1.1241e+00    1.2415e+00
 4.5000e-02    1.2779e+02   -1.1173e+00    1.2355e+00
 4.6000e-02    1.2813e+02   -1.1109e+00    1.2299e+00
 4.7000e-02    1.2844e+02   -1.1048e+00    1.2246e+00
 4.8000e-02    1.2874e+02   -1.0991e+00    1.2197e+00
 4.9000e-02    1.2902e+02   -1.0938e+00    1.2150e+00
 5.0000e-02    1.2928e+02   -1.0887e+00    1.2105e+00
 5.1000e-02    1.2953e+02   -1.0839e+00    1.2063e+00
 5.2000e-02    1.2976e+02   -1.0794e+00    1.2023e+00
 5.3000e-02    1.2998e+02   -1.0751e+00    1.1985e+00
 5.4000e-02    1.3019e+02   -1.0710e+00    1.1949e+00
 5.5000e-02    1.3039e+02   -1.0670e+00    1.1915e+00
