PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 0.0000e+00    8.9047e+00   -2.5090e+00    2.4453e+00
 1.0000e-03    1.7356e+01   -2.4366e+00    2.3824e+00
 2.0000e-03    2.5360e+01   -2.3658e+00    2.3212e+00
 3.0000e-03    3.2923e+01   -2.2970e+00    2.2615e+00
 4.0000e-03    4.0051e+01   -2.2302e+00    2.2036e+00
 5.0000e-03    4.6755e+01   -2.1654e+00    2.1474e+00
 6.0000e-03    5.3045e+01   -2.1029e+00    2.0932e+00
 7.0000e-03    5.8932e+01   -2.0426e+00    2.0410e+00
 8.0000e-03    6.4430e+01   -1.9846e+00    1.9907e+00
 9.0000e-03    6.9554e+01   -1.9291e+00    1.9426e+00
 1.0000e-02    7.4321e+01   -1.8759e+00    1.8965e+00
 1.1000e-02    7.8746e+01   -1.8251e+00    1.8524e+00
 1.2000e-02    8.2846e+01   -1.7767e+00    1.8105e+00
 1.3000e-02    8.6641e+01   -1.7308e+00    1.7706e+00
 1.4000e-02    9.0147e+01   -1.6872e+00    1.7328e+00
 1.5000e-02    9.3384e+01   -1.6459e+00    1.6970e+00
 1.6000e-02    9.6368e+01   -1.6070e+00    1.6632e+00
 1.7000e-02    9.9116e+01   -1.5702e+00    1.6314e+00
 1.8000e-02    1.0165e+02   -1.5356e+00    1.6014e+00
 1.9000e-02    1.0397e+02   -1.5030e+00    1.5731e+00
 2.0000e-02    1.0611e+02   -1.4725e+00    1.5466e+00
 2.1000e-02    1.0808e+02   -1.4438e+00    1.5217e+00
 2.2000e-02    1.0989e+02   -1.4169e+00    1.4984e+00
 2.3000e-02    1.1156e+02   -1.3918e+00    1.4765e+00
 2.4000e-02    1.1309e+02   -1.3682e+00    1.4560e+00
 2.5000e-02    1.1450e+02   -1.3462e+00    1.4369e+00
 2.6000e-02    1.1579e+02   -1.3256e+00    1.4190e+00
 2.7000e-02    1.1698e+02   -1.3063e+00    1.4023e+00
 2.8000e-02    1.1808e+02   -1.2883e+00    1.3866e+00
 2.9000e-02    1.1910e+02   -1.2715e+00    1.3720e+00
 3.0000e-02    1.2003e+02   -1.2558e+00    1.3583e+00
 3.1000e-02    1.2090e+02   -1.2411e+00    1.3455e+00
 3.2000e-02    1.2170e+02   -1.2273e+00    1.3335e+00
 3.3000e-02    1.2244e+02   -1.2145e+00    1.3223e+00
 3.4000e-02    1.2312e+02   -1.2024e+00    1.3119e+00
 3.5000e-02    1.2376e+02   -1.1912e+00    1.3020e+00
 3.6000e-02    1.2435e+02   -1.1806e+00    1.2928e+00
 3.7000e-02    1.2490e+02   -1.1707e+00    1.2842e+00
 3.8000e-02    1.2541e+02   -1.1615e+00    1.2762e+00
 3.9000e-02    1.2588e+02   -1.1528e+00    1.2686e+00
 4.0000e-02    1.2632e+02   -1.1446e+00    1.2614e+00
 4.1000e-02    1.2674e+02   -1.1369e+00    1.2548e+00
 4.2000e-02    1.2712e+02   -1.1297e+00    1.2484e+00
 4.3000e-02    1.2748e+02   -1.1229e+00    1.2425e+00
 4.4000e-02    1.2782e+02   -1.1165e+00    1.2369e+00
 4.5000e-02    1.2814e+02   -1.1105e+00    1.2317e+00
 4.6000e-02    1.2844e+02   -1.1048e+00    1.2266e+00
 4.7000e-02    1.2872e+02   -1.0995e+00    1.2220e+00
 4.8000e-02    1.2898e+02   -1.0944e+00    1.2175e+00
 4.9000e-02    1.2924e+02   -1.0895e+00    1.2133e+00
 5.0000e-02    1.2947e+02   -1.0849e+00    1.2093e+00
 5.1000e-02    1.2970e+02   -1.0805e+00    1.2054e+00
 5.2000e-02    1.2991e+02   -1.0763e+00    1.2017e+00
 5.3000e-02    1.3012e+02   -1.0723e+00    1.1981e+00
 5.4000e-02    1.3031e+02   -1.0685e+00    1.1947e+00
 5.5000e-02    1.3050e+02   -1.0648e+00    1.1915e+00
 5.6000e-02    1.3068e+02   -1.0612e+00    1.1884e+00
 5.7000e-02    1.3085e+02   -1.0579e+00    1.1854e+00
 5.8000e-02    1.3102e+02   -1.0546e+00    1.1826e+00
 5.9000e-02    1.3117e+02   -1.0515e+00    1.1798e+00
 6.0000e-02    1.3133e+02   -1.0485e+00    1.1771e+00
 6.1000e-02    1.3147e+02   -1.0456e+00    1.1746e+00
 6.2000e-02    1.3161e+02   -1.0428e+00    1.1721e+00
 6.3000e-02    1.3175e+02   -1.0400e+00    1.1696e+00
 6.4000e-02    1.3188e+02   -1.0374e+00    1.1673e+00
 6.5000e-02    1.3201e+02   -1.0347e+00    1.1649e+00
 6.6000e-02    1.3214e+02   -1.0322e+00    1.1627e+00
 6.7000e-02    1.3226e+02   -1.0297e+00    1.1605e+00
 6.8000e-02    1.3238e+02   -1.0273e+00    1.1584e+00
 6.9000e-02    1.3250e+02   -1.0249e+00    1.1563e+00
 7.0000e-02    1.3262e+02   -1.0226e+00    1.1542e+00
 7.1000e-02    1.3273e+02   -1.0203e+00    1.1522e+00
 7.2000e-02    1.3284e+02   -1.0180e+00    1.1502e+00
 7.3000e-02    1.3295e+02   -1.0158e+00    1.1482e+00
 7.4000e-02    1.3306e+02   -1.0136e+00    1.1462e+00
 7.5000e-02    1.3317e+02   -1.0114e+00    1.1443e+00
 7.6000e-02    1.3327e+02   -1.0093e+00    1.1424e+00
 7.7000e-02    1.3337e+02   -1.0072e+00    1.1405e+00
 7.8000e-02    1.3347e+02   -1.0051e+00    1.1387e+00
 7.9000e-02    1.3357e+02   -1.0031e+00    1.1369e+00
 8.0000e-02    1.3366e+02   -1.0012e+00    1.1352e+00
 8.1000e-02    1.3375e+02   -9.9937e-01    1.1336e+00
 8.2000e-02    1.3383e+02   -9.9756e-01    1.1319e+00
 8.3000e-02    1.3392e+02   -9.9582e-01    1.1304e+00
 8.4000e-02    1.3400e+02   -9.9412e-01    1.1289e+00
 8.5000e-02    1.3408e+02   -9.9244e-01    1.1273e+00
 8.6000e-02    1.3416e+02   -9.9080e-01    1.1259e+00
 8.7000e-02    1.3424e+02   -9.8918e-01    1.1244e+00
 8.8000e-02    1.3431e+02   -9.8761e-01    1.1230e+00
 8.9000e-02    1.3439e+02   -9.8607e-01    1.1217e+00
 9.0000e-02    1.3446e+02   -9.8456e-01    1.1203e+00
 9.1000e-02    1.3453e+02   -9.8309e-01    1.1190e+00
 9.2000e-02    1.3459e+02   -9.8165e-01    1.1177e+00
 9.3000e-02    1.3465e+02   -9.8028e-01    1.1165e+00
 9.4000e-02    1.3471e+02   -9.7897e-01    1.1153e+00
 9.5000e-02    1.3477e+02   -9.7773e-01    1.1142e+00
 9.6000e-02    1.3482e+02   -9.7655e-01    1.1131e+00
 9.7000e-02    1.3487e+02   -9.7544e-01    1.1121e+00
 9.8000e-02    1.3492e+02   -9.7441e-01    1.1112e+00
 9.9000e-02    1.3496e+02   -9.7345e-01    1.1103e+00
 1.0000e-01    1.3500e+02   -9.7255e-01    1.1095e+00
