PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
 1.0000e-03    0.0000e+00   -2.1119e+00    2.0096e+00
 2.0000e-03    4.3631e+00   -2.0842e+00    2.0022e+00
 3.0000e-03    8.5609e+00   -2.0426e+00    1.9910e+00
 4.0000e-03    1.2596e+01   -2.0018e+00    1.9801e+00
 5.0000e-03    1.6472e+01   -1.9619e+00    1.9693e+00
 6.0000e-03    2.0193e+01   -1.9228e+00    1.9588e+00
 7.0000e-03    2.3761e+01   -1.8846e+00    1.9485e+00
 8.0000e-03    2.7181e+01   -1.8473e+00    1.9384e+00
 9.0000e-03    3.0457e+01   -1.8110e+00    1.9286e+00
 1.0000e-02    3.3592e+01   -1.7756e+00    1.9190e+00
 1.1000e-02    3.6592e+01   -1.7411e+00    1.9096e+00
 1.2000e-02    3.9460e+01   -1.7075e+00    1.9004e+00
 1.3000e-02    4.2201e+01   -1.6748e+00    1.8915e+00
 1.4000e-02    4.4820e+01   -1.6431e+00    1.8828e+00
 1.5000e-02    4.7322e+01   -1.6123e+00    1.8744e+00
 1.6000e-02    4.9710e+01   -1.5824e+00    1.8662e+00
 1.7000e-02    5.1990e+01   -1.5534e+00    1.8582e+00
 1.8000e-02    5.4167e+01   -1.5253e+00    1.8504e+00
 1.9000e-02    5.6245e+01   -1.4980e+00    1.8429e+00
 2.0000e-02    5.8228e+01   -1.4716e+00    1.8355e+00
 2.1000e-02    6.0121e+01   -1.4460e+00    1.8284e+00
 2.2000e-02    6.1928e+01   -1.4213e+00    1.8214e+00
 2.3000e-02    6.3653e+01   -1.3973e+00    1.8147e+00
 2.4000e-02    6.5299e+01   -1.3742e+00    1.8082e+00
 2.5000e-02    6.6872e+01   -1.3518e+00    1.8019e+00
 2.6000e-02    6.8373e+01   -1.3301e+00    1.7957e+00
 2.7000e-02    6.9808e+01   -1.3092e+00    1.7897e+00
 2.8000e-02    7.1180e+01   -1.2889e+00    1.7839e+00
 2.9000e-02    7.2491e+01   -1.2693e+00    1.7783e+00
 3.0000e-02    7.3745e+01   -1.2504e+00    1.7728e+00
 3.1000e-02    7.4945e+01   -1.2321e+00    1.7675e+00
 3.2000e-02    7.6094e+01   -1.2145e+00    1.7623e+00
 3.3000e-02    7.7195e+01   -1.1974e+00    1.7573e+00
 3.4000e-02    7.8250e+01   -1.1809e+00    1.7524e+00
 3.5000e-02    7.9262e+01   -1.1649e+00    1.7477e+00
 3.6000e-02    8.0232e+01   -1.1495e+00    1.7431e+00
 3.7000e-02    8.1163e+01   -1.1346e+00    1.7386e+00
 3.8000e-02    8.2057e+01   -1.1202e+00    1.7342e+00
 3.9000e-02    8.2916e+01   -1.1062e+00    1.7300e+00
 4.0000e-02    8.3742e+01   -1.0927e+00    1.7259e+00
 4.1000e-02    8.4536e+01   -1.0797e+00    1.7218e+00
 4.2000e-02    8.5301e+01   -1.0670e+00    1.7179e+00
 4.3000e-02    8.6038e+01   -1.0548e+00    1.7141e+00
 4.4000e-02    8.6748e+01   -1.0429e+00    1.7104e+00
 4.5000e-02    8.7433e+01   -1.0315e+00    1.7067e+00
 4.6000e-02    8.8095e+01   -1.0203e+00    1.7032e+00
 4.7000e-02    8.8733e+01   -1.0096e+00    1.6997e+00
 4.8000e-02    8.9350e+01   -9.9910e-01    1.6964e+00
 4.9000e-02    8.9947e+01   -9.8895e-01    1.6931e+00
 5.0000e-02    9.0525e+01   -9.7911e-01    1.6898e+00
 5.1000e-02    9.1084e+01   -9.6955e-01    1.6867e+00
 5.2000e-02    9.1625e+01   -9.6028e-01    1.6836e+00
 5.3000e-02    9.2150e+01   -9.5127e-01    1.6805e+00
 5.4000e-02    9.2659e+01   -9.4251e-01    1.6776e+00
 5.5000e-02    9.3153e+01   -9.3400e-01    1.6746e+00
 5.6000e-02    9.3633e+01   -9.2572e-01    1.6718e+00
 5.7000e-02    9.4100e+01   -9.1767e-01    1.6690e+00
 5.8000e-02    9.4554e+01   -9.0984e-01    1.6663e+00
 5.9000e-02    9.4996e+01   -9.0222e-01    1.6636e+00
 6.0000e-02    9.5426e+01   -8.9478e-01    1.6609e+00
 6.1000e-02    9.5846e+01   -8.8755e-01    1.6583e+00
 6.2000e-02    9.6255e+01   -8.8049e-01    1.6557e+00
 6.3000e-02    9.6655e+01   -8.7361e-01    1.6532e+00
 6.4000e-02    9.7045e+01   -8.6690e-01    1.6508e+00
 6.5000e-02    9.7425e+01   -8.6038e-01    1.6483e+00
 6.6000e-02    9.7797e+01   -8.5402e-01    1.6459e+00
 6.7000e-02    9.8161e+01   -8.4781e-01    1.6436e+00
 6.8000e-02    9.8516e+01   -8.4177e-01    1.6413e+00
 6.9000e-02    9.8863e+01   -8.3589e-01    1.6390e+00
 7.0000e-02    9.9202e+01   -8.3016e-01    1.6368e+00
 7.1000e-02    9.9534e+01   -8.2460e-01    1.6346e+00
 7.2000e-02    9.9858e+01   -8.1917e-01    1.6324e+00
 7.3000e-02    1.0017e+02   -8.1389e-01    1.6303e+00
 7.4000e-02    1.0048e+02   -8.0877e-01    1.6282e+00
 7.5000e-02    1.0079e+02   -8.0378e-01    1.6262e+00
 7.6000e-02    1.0109e+02   -7.9893e-01    1.6241e+00
 7.7000e-02    1.0138e+02   -7.9421e-01    1.6221e+00
 7.8000e-02    1.0166e+02   -7.8961e-01    1.6202e+00
 7.9000e-02    1.0194e+02   -7.8512e-01    1.6182e+00
 8.0000e-02    1.0221e+02   -7.8075e-01    1.6163e+00
