PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 0.0000e+00    8.1483e+00   -2.4970e+00    2.3601e+00
 1.0000e-03    1.5921e+01   -2.4303e+00    2.3128e+00
 2.0000e-03    2.3322e+01   -2.3650e+00    2.2664e+00
 3.0000e-03    3.0356e+01   -2.3011e+00    2.2211e+00
 4.0000e-03    3.7028e+01   -2.2389e+00    2.1771e+00
 5.0000e-03    4.3343e+01   -2.1784e+00    2.1343e+00
 6.0000e-03    4.9309e+01   -2.1197e+00    2.0925e+00
 7.0000e-03    5.4933e+01   -2.0627e+00    2.0520e+00
 8.0000e-03    6.0226e+01   -2.0077e+00    2.0129e+00
 9.0000e-03    6.5197e+01   -1.9546e+00    1.9752e+00
 1.0000e-02    6.9857e+01   -1.9035e+00    1.9389e+00
 1.1000e-02    7.4218e+01   -1.8544e+00    1.9040e+00
 1.2000e-02    7.8294e+01   -1.8073e+00    1.8706e+00
 1.3000e-02    8.2096e+01   -1.7622e+00    1.8386e+00
 1.4000e-02    8.5639e+01   -1.7192e+00    1.8080e+00
 1.5000e-02    8.8937e+01   -1.6781e+00    1.7787e+00
 1.6000e-02    9.2002e+01   -1.6391e+00    1.7510e+00
 1.7000e-02    9.4848e+01   -1.6019e+00    1.7245e+00
 1.8000e-02    9.7491e+01   -1.5667e+00    1.6995e+00
 1.9000e-02    9.9941e+01   -1.5333e+00    1.6758e+00
 2.0000e-02    1.0221e+02   -1.5017e+00    1.6531e+00
 2.1000e-02    1.0432e+02   -1.4718e+00    1.6318e+00
 2.2000e-02    1.0627e+02   -1.4436e+00    1.6117e+00
 2.3000e-02    1.0807e+02   -1.4170e+00    1.5928e+00
 2.4000e-02    1.0975e+02   -1.3919e+00    1.5749e+00
 2.5000e-02    1.1130e+02   -1.3683e+00    1.5579e+00
 2.6000e-02    1.1273e+02   -1.3460e+00    1.5418e+00
 2.7000e-02    1.1407e+02   -1.3250e+00    1.5268e+00
 2.8000e-02    1.1530e+02   -1.3052e+00    1.5127e+00
 2.9000e-02    1.1645e+02   -1.2866e+00    1.4994e+00
 3.0000e-02    1.1752e+02   -1.2691e+00    1.4867e+00
 3.1000e-02    1.1851e+02   -1.2526e+00    1.4748e+00
 3.2000e-02    1.1944e+02   -1.2371e+00    1.4636e+00
 3.3000e-02    1.2030e+02   -1.2224e+00    1.4531e+00
 3.4000e-02    1.2111e+02   -1.2086e+00    1.4431e+00
 3.5000e-02    1.2186e+02   -1.1955e+00    1.4336e+00
 3.6000e-02    1.2256e+02   -1.1831e+00    1.4246e+00
 3.7000e-02    1.2322e+02   -1.1715e+00    1.4161e+00
 3.8000e-02    1.2384e+02   -1.1604e+00    1.4081e+00
 3.9000e-02    1.2443e+02   -1.1499e+00    1.4006e+00
 4.0000e-02    1.2497e+02   -1.1400e+00    1.3933e+00
 4.1000e-02    1.2549e+02   -1.1306e+00    1.3864e+00
 4.2000e-02    1.2598e+02   -1.1217e+00    1.3800e+00
 4.3000e-02    1.2644e+02   -1.1132e+00    1.3738e+00
 4.4000e-02    1.2688e+02   -1.1050e+00    1.3678e+00
 4.5000e-02    1.2729e+02   -1.0973e+00    1.3621e+00
 4.6000e-02    1.2769e+02   -1.0899e+00    1.3566e+00
 4.7000e-02    1.2806e+02   -1.0828e+00    1.3515e+00
 4.8000e-02    1.2842e+02   -1.0760e+00    1.3464e+00
 4.9000e-02    1.2876e+02   -1.0695e+00    1.3416e+00
 5.0000e-02    1.2909e+02   -1.0632e+00    1.3369e+00
 5.1000e-02    1.2941e+02   -1.0572e+00    1.3325e+00
 5.2000e-02    1.2971e+02   -1.0514e+00    1.3283e+00
 5.3000e-02    1.2999e+02   -1.0459e+00    1.3240e+00
 5.4000e-02    1.3027e+02   -1.0406e+00    1.3201e+00
 5.5000e-02    1.3053e+02   -1.0355e+00    1.3163e+00
 5.6000e-02    1.3078e+02   -1.0306e+00    1.3127e+00
 5.7000e-02    1.3102e+02   -1.0260e+00    1.3091e+00
 5.8000e-02    1.3125e+02   -1.0215e+00    1.3059e+00
 5.9000e-02    1.3147e+02   -1.0172e+00    1.3027e+00
 6.0000e-02    1.3168e+02   -1.0131e+00    1.2995e+00
 6.1000e-02    1.3188e+02   -1.0092e+00    1.2963e+00
 6.2000e-02    1.3207e+02   -1.0055e+00    1.2936e+00
 6.3000e-02    1.3225e+02   -1.0020e+00    1.2910e+00
 6.4000e-02    1.3242e+02   -9.9863e-01    1.2885e+00
 6.5000e-02    1.3259e+02   -9.9546e-01    1.2860e+00
 6.6000e-02    1.3274e+02   -9.9244e-01    1.2837e+00
 6.7000e-02    1.3289e+02   -9.8958e-01    1.2815e+00
 6.8000e-02    1.3304e+02   -9.8687e-01    1.2793e+00
 6.9000e-02    1.3317e+02   -9.8430e-01    1.2773e+00
 7.0000e-02    1.3330e+02   -9.8185e-01    1.2753e+00
 7.1000e-02    1.3342e+02   -9.7952e-01    1.2735e+00
 7.2000e-02    1.3354e+02   -9.7728e-01    1.2717e+00
 7.3000e-02    1.3365e+02   -9.7515e-01    1.2699e+00
 7.4000e-02    1.3376e+02   -9.7309e-01    1.2683e+00
 7.5000e-02    1.3386e+02   -9.7111e-01    1.2667e+00
 7.6000e-02    1.3396e+02   -9.6921e-01    1.2651e+00
 7.7000e-02    1.3406e+02   -9.6738e-01    1.2636e+00
 7.8000e-02    1.3415e+02   -9.6561e-01    1.2622e+00
 7.9000e-02    1.3424e+02   -9.6391e-01    1.2608e+00
 8.0000e-02    1.3432e+02   -9.6228e-01    1.2594e+00
 8.1000e-02    1.3440e+02   -9.6071e-01    1.2580e+00
 8.2000e-02    1.3448e+02   -9.5920e-01    1.2569e+00
 8.3000e-02    1.3456e+02   -9.5774e-01    1.2557e+00
 8.4000e-02    1.3464e+02   -9.5633e-01    1.2544e+00
 8.5000e-02    1.3471e+02   -9.5497e-01    1.2532e+00
 8.6000e-02    1.3478e+02   -9.5365e-01    1.2521e+00
 8.7000e-02    1.3485e+02   -9.5236e-01    1.2509e+00
 8.8000e-02    1.3492e+02   -9.5107e-01    1.2498e+00
 8.9000e-02    1.3499e+02   -9.4979e-01    1.2488e+00
 9.0000e-02    1.3505e+02   -9.4852e-01    1.2477e+00
 9.1000e-02    1.3512e+02   -9.4723e-01    1.2466e+00
 9.2000e-02    1.3519e+02   -9.4594e-01    1.2455e+00
 9.3000e-02    1.3526e+02   -9.4463e-01    1.2444e+00
 9.4000e-02    1.3533e+02   -9.4330e-01    1.2432e+00
 9.5000e-02    1.3540e+02   -9.4194e-01    1.2421e+00
 9.6000e-02    1.3547e+02   -9.4056e-01    1.2410e+00
 9.7000e-02    1.3554e+02   -9.3913e-01    1.2398e+00
 9.8000e-02    1.3562e+02   -9.3766e-01    1.2385e+00
 9.9000e-02    1.3570e+02   -9.3613e-01    1.2373e+00
 1.0000e-01    1.3577e+02   -9.3455e-01    1.2361e+00
 1.0100e-01    1.3585e+02   -9.3293e-01    1.2348e+00
 1.0200e-01    1.3594e+02   -9.3127e-01    1.2333e+00
 1.0300e-01    1.3602e+02   -9.2956e-01    1.2319e+00
 1.0400e-01    1.3611e+02   -9.2783e-01    1.2305e+00
 1.0500e-01    1.3619e+02   -9.2610e-01    1.2291e+00
 1.0600e-01    1.3628e+02   -9.2434e-01    1.2277e+00
 1.0700e-01    1.3637e+02   -9.2256e-01    1.2263e+00
 1.0800e-01    1.3646e+02   -9.2076e-01    1.2249e+00
 1.0900e-01    1.3655e+02   -9.1893e-01    1.2233e+00
 1.1000e-01    1.3665e+02   -9.1709e-01    1.2218e+00
 1.1100e-01    1.3674e+02   -9.1523e-01    1.2203e+00
 1.1200e-01    1.3683e+02   -9.1337e-01    1.2189e+00
 1.1300e-01    1.3692e+02   -9.1153e-01    1.2174e+00
 1.1400e-01    1.3701e+02   -9.0971e-01    1.2158e+00
 1.1500e-01    1.3709e+02   -9.0792e-01    1.2145e+00
 1.1600e-01    1.3718e+02   -9.0616e-01    1.2131e+00
 1.1700e-01    1.3726e+02   -9.0444e-01    1.2117e+00
 1.1800e-01    1.3734e+02   -9.0276e-01    1.2103e+00
 1.1900e-01    1.3742e+02   -9.0110e-01    1.2089e+00
 1.2000e-01    1.3750e+02   -8.9949e-01    1.2076e+00
 1.2100e-01    1.3758e+02   -8.9793e-01    1.2063e+00
 1.2200e-01    1.3765e+02   -8.9642e-01    1.2050e+00
 1.2300e-01    1.3772e+02   -8.9496e-01    1.2038e+00
 1.2400e-01    1.3780e+02   -8.9355e-01    1.2026e+00
 1.2500e-01    1.3786e+02   -8.9219e-01    1.2015e+00
 1.2600e-01    1.3793e+02   -8.9088e-01    1.2004e+00
 1.2700e-01    1.3799e+02   -8.8962e-01    1.1994e+00
 1.2800e-01    1.3805e+02   -8.8842e-01    1.1983e+00
 1.2900e-01    1.3811e+02   -8.8729e-01    1.1974e+00
 1.3000e-01    1.3817e+02   -8.8620e-01    1.1964e+00
 1.3100e-01    1.3822e+02   -8.8515e-01    1.1955e+00
 1.3200e-01    1.3828e+02   -8.8414e-01    1.1946e+00
 1.3300e-01    1.3833e+02   -8.8317e-01    1.1938e+00
 1.3400e-01    1.3838e+02   -8.8222e-01    1.1930e+00
 1.3500e-01    1.3842e+02   -8.8131e-01    1.1921e+00
 1.3600e-01    1.3847e+02   -8.8045e-01    1.1913e+00
 1.3700e-01    1.3851e+02   -8.7965e-01    1.1906e+00
 1.3800e-01    1.3855e+02   -8.7890e-01    1.1898e+00
 1.3900e-01    1.3858e+02   -8.7820e-01    1.1892e+00
 1.4000e-01    1.3862e+02   -8.7756e-01    1.1885e+00
 1.4100e-01    1.3865e+02   -8.7697e-01    1.1879e+00
 1.4200e-01    1.3869e+02   -8.7641e-01    1.1874e+00
 1.4300e-01    1.3872e+02   -8.7588e-01    1.1869e+00
 1.4400e-01    1.3875e+02   -8.7537e-01    1.1863e+00
 1.4500e-01    1.3878e+02   -8.7488e-01    1.1859e+00
 1.4600e-01    1.3881e+02   -8.7441e-01    1.1854e+00
 1.4700e-01    1.3883e+02   -8.7396e-01    1.1850e+00
 1.4800e-01    1.3886e+02   -8.7354e-01    1.1844e+00
 1.4900e-01    1.3889e+02   -8.7312e-01    1.1839e+00
 1.5000e-01    1.3892e+02   -8.7272e-01    1.1835e+00
 1.5100e-01    1.3894e+02   -8.7235e-01    1.1831e+00
 1.5200e-01    1.3897e+02   -8.7200e-01    1.1827e+00
 1.5300e-01    1.3899e+02   -8.7164e-01    1.1822e+00
 1.5400e-01    1.3902e+02   -8.7128e-01    1.1818e+00
 1.5500e-01    1.3905e+02   -8.7090e-01    1.1814e+00
 1.5600e-01    1.3907e+02   -8.7051e-01    1.1809e+00
 1.5700e-01    1.3910e+02   -8.7011e-01    1.1805e+00
 1.5800e-01    1.3912e+02   -8.6968e-01    1.1800e+00
 1.5900e-01    1.3915e+02   -8.6921e-01    1.1795e+00
 1.6000e-01    1.3917e+02   -8.6873e-01    1.1790e+00
 1.6100e-01    1.3920e+02   -8.6822e-01    1.1785e+00
 1.6200e-01    1.3923e+02   -8.6771e-01    1.1780e+00
 1.6300e-01    1.3926e+02   -8.6719e-01    1.1775e+00
 1.6400e-01    1.3929e+02   -8.6667e-01    1.1769e+00
 1.6500e-01    1.3932e+02   -8.6615e-01    1.1764e+00
 1.6600e-01    1.3935e+02   -8.6561e-01    1.1759e+00
 1.6700e-01    1.3938e+02   -8.6507e-01    1.1754e+00
 1.6800e-01    1.3941e+02   -8.6450e-01    1.1749e+00
 1.6900e-01    1.3944e+02   -8.6392e-01    1.1743e+00
 1.7000e-01    1.3948e+02   -8.6333e-01    1.1736e+00
 1.7100e-01    1.3951e+02   -8.6272e-01    1.1731e+00
 1.7200e-01    1.3954e+02   -8.6209e-01    1.1725e+00
 1.7300e-01    1.3958e+02   -8.6143e-01    1.1720e+00
 1.7400e-01    1.3962e+02   -8.6074e-01    1.1712e+00
 1.7500e-01    1.3966e+02   -8.6002e-01    1.1705e+00
 1.7600e-01    1.3970e+02   -8.5926e-01    1.1699e+00
 1.7700e-01    1.3974e+02   -8.5848e-01    1.1691e+00
 1.7800e-01    1.3978e+02   -8.5767e-01    1.1685e+00
 1.7900e-01    1.3983e+02   -8.5682e-01    1.1676e+00
 1.8000e-01    1.3987e+02   -8.5592e-01    1.1669e+00
 1.8100e-01    1.3992e+02   -8.5497e-01    1.1660e+00
 1.8200e-01    1.3997e+02   -8.5399e-01    1.1653e+00
 1.8300e-01    1.4002e+02   -8.5297e-01    1.1644e+00
 1.8400e-01    1.4007e+02   -8.5191e-01    1.1635e+00
 1.8500e-01    1.4013e+02   -8.5083e-01    1.1625e+00
 1.8600e-01    1.4018e+02   -8.4974e-01    1.1616e+00
 1.8700e-01    1.4023e+02   -8.4864e-01    1.1607e+00
 1.8800e-01    1.4029e+02   -8.4751e-01    1.1597e+00
 1.8900e-01    1.4034e+02   -8.4638e-01    1.1588e+00
 1.9000e-01    1.4039e+02   -8.4525e-01    1.1578e+00
 1.9100e-01    1.4044e+02   -8.4413e-01    1.1569e+00
 1.9200e-01    1.4050e+02   -8.4300e-01    1.1559e+00
 1.9300e-01    1.4055e+02   -8.4190e-01    1.1550e+00
 1.9400e-01    1.4060e+02   -8.4081e-01    1.1541e+00
 1.9500e-01    1.4065e+02   -8.3974e-01    1.1532e+00
 1.9600e-01    1.4070e+02   -8.3870e-01    1.1524e+00
 1.9700e-01    1.4075e+02   -8.3769e-01    1.1515e+00
 1.9800e-01    1.4079e+02   -8.3672e-01    1.1507e+00
 1.9900e-01    1.4083e+02   -8.3581e-01    1.1499e+00
 2.0000e-01    1.4088e+02   -8.3496e-01    1.1492e+00
 2.0100e-01    1.4091e+02   -8.3419e-01    1.1485e+00
 2.0200e-01    1.4095e+02   -8.3348e-01    1.1478e+00
 2.0300e-01    1.4098e+02   -8.3284e-01    1.1472e+00
 2.0400e-01    1.4101e+02   -8.3226e-01    1.1467e+00
 2.0500e-01    1.4104e+02   -8.3174e-01    1.1462e+00
 2.0600e-01    1.4107e+02   -8.3125e-01    1.1457e+00
 2.0700e-01    1.4109e+02   -8.3080e-01    1.1452e+00
 2.0800e-01    1.4112e+02   -8.3039e-01    1.1448e+00
 2.0900e-01    1.4114e+02   -8.3003e-01    1.1444e+00
 2.1000e-01    1.4116e+02   -8.2971e-01    1.1440e+00
 2.1100e-01    1.4118e+02   -8.2943e-01    1.1437e+00
 2.1200e-01    1.4120e+02   -8.2917e-01    1.1434e+00
 2.1300e-01    1.4121e+02   -8.2892e-01    1.1431e+00
 2.1400e-01    1.4123e+02   -8.2869e-01    1.1428e+00
 2.1500e-01    1.4125e+02   -8.2850e-01    1.1424e+00
 2.1600e-01    1.4126e+02   -8.2835e-01    1.1422e+00
 2.1700e-01    1.4127e+02   -8.2824e-01    1.1420e+00
 2.1800e-01    1.4128e+02   -8.2813e-01    1.1418e+00
 2.1900e-01    1.4129e+02   -8.2805e-01    1.1415e+00
 2.2000e-01    1.4130e+02   -8.2799e-01    1.1413e+00
 2.2100e-01    1.4131e+02   -8.2796e-01    1.1412e+00
 2.2200e-01    1.4132e+02   -8.2793e-01    1.1411e+00
 2.2300e-01    1.4133e+02   -8.2791e-01    1.1411e+00
 2.2400e-01    1.4134e+02   -8.2789e-01    1.1408e+00
 2.2500e-01    1.4135e+02   -8.2786e-01    1.1406e+00
 2.2600e-01    1.4136e+02   -8.2780e-01    1.1405e+00
 2.2700e-01    1.4137e+02   -8.2771e-01    1.1403e+00
 2.2800e-01    1.4138e+02   -8.2758e-01    1.1400e+00
 2.2900e-01    1.4139e+02   -8.2738e-01    1.1398e+00
 2.3000e-01    1.4141e+02   -8.2716e-01    1.1394e+00
 2.3100e-01    1.4142e+02   -8.2691e-01    1.1392e+00
 2.3200e-01    1.4144e+02   -8.2661e-01    1.1388e+00
 2.3300e-01    1.4145e+02   -8.2629e-01    1.1384e+00
 2.3400e-01    1.4147e+02   -8.2596e-01    1.1381e+00
 2.3500e-01    1.4149e+02   -8.2562e-01    1.1376e+00
 2.3600e-01    1.4151e+02   -8.2526e-01    1.1373e+00
 2.3700e-01    1.4153e+02   -8.2490e-01    1.1370e+00
 2.3800e-01    1.4155e+02   -8.2454e-01    1.1366e+00
 2.3900e-01    1.4157e+02   -8.2418e-01    1.1361e+00
 2.4000e-01    1.4159e+02   -8.2382e-01    1.1357e+00
 2.4100e-01    1.4161e+02   -8.2347e-01    1.1353e+00
 2.4200e-01    1.4163e+02   -8.2313e-01    1.1351e+00
 2.4300e-01    1.4165e+02   -8.2279e-01    1.1347e+00
 2.4400e-01    1.4167e+02   -8.2245e-01    1.1342e+00
 2.4500e-01    1.4169e+02   -8.2211e-01    1.1338e+00
 2.4600e-01    1.4171e+02   -8.2176e-01    1.1335e+00
 2.4700e-01    1.4173e+02   -8.2140e-01    1.1331e+00
 2.4800e-01    1.4175e+02   -8.2104e-01    1.1328e+00
 2.4900e-01    1.4177e+02   -8.2066e-01    1.1325e+00
 2.5000e-01    1.4179e+02   -8.2027e-01    1.1320e+00
 2.5100e-01    1.4181e+02   -8.1989e-01    1.1315e+00
 2.5200e-01    1.4183e+02   -8.1950e-01    1.1312e+00
 2.5300e-01    1.4185e+02   -8.1912e-01    1.1309e+00
 2.5400e-01    1.4187e+02   -8.1877e-01    1.1304e+00
 2.5500e-01    1.4189e+02   -8.1846e-01    1.1300e+00
 2.5600e-01    1.4191e+02   -8.1820e-01    1.1297e+00
 2.5700e-01    1.4192e+02   -8.1799e-01    1.1294e+00
 2.5800e-01    1.4193e+02   -8.1781e-01    1.1291e+00
 2.5900e-01    1.4194e+02   -8.1768e-01    1.1290e+00
 2.6000e-01    1.4195e+02   -8.1759e-01    1.1288e+00
 2.6100e-01    1.4196e+02   -8.1752e-01    1.1286e+00
 2.6200e-01    1.4197e+02   -8.1748e-01    1.1285e+00
 2.6300e-01    1.4197e+02   -8.1745e-01    1.1283e+00
 2.6400e-01    1.4198e+02   -8.1745e-01    1.1282e+00
 2.6500e-01    1.4198e+02   -8.1747e-01    1.1281e+00
 2.6600e-01    1.4199e+02   -8.1749e-01    1.1280e+00
 2.6700e-01    1.4199e+02   -8.1752e-01    1.1278e+00
 2.6800e-01    1.4200e+02   -8.1756e-01    1.1277e+00
 2.6900e-01    1.4200e+02   -8.1757e-01    1.1277e+00
 2.7000e-01    1.4201e+02   -8.1757e-01    1.1275e+00
 2.7100e-01    1.4202e+02   -8.1752e-01    1.1274e+00
 2.7200e-01    1.4203e+02   -8.1741e-01    1.1272e+00
 2.7300e-01    1.4205e+02   -8.1722e-01    1.1269e+00
 2.7400e-01    1.4206e+02   -8.1697e-01    1.1266e+00
 2.7500e-01    1.4208e+02   -8.1667e-01    1.1263e+00
 2.7600e-01    1.4210e+02   -8.1630e-01    1.1259e+00
 2.7700e-01    1.4211e+02   -8.1590e-01    1.1255e+00
 2.7800e-01    1.4214e+02   -8.1548e-01    1.1251e+00
 2.7900e-01    1.4216e+02   -8.1504e-01    1.1246e+00
 2.8000e-01    1.4218e+02   -8.1457e-01    1.1242e+00
 2.8100e-01    1.4221e+02   -8.1409e-01    1.1237e+00
 2.8200e-01    1.4223e+02   -8.1358e-01    1.1233e+00
 2.8300e-01    1.4226e+02   -8.1304e-01    1.1228e+00
 2.8400e-01    1.4228e+02   -8.1250e-01    1.1222e+00
 2.8500e-01    1.4231e+02   -8.1196e-01    1.1217e+00
 2.8600e-01    1.4233e+02   -8.1141e-01    1.1212e+00
 2.8700e-01    1.4236e+02   -8.1087e-01    1.1207e+00
 2.8800e-01    1.4239e+02   -8.1035e-01    1.1203e+00
 2.8900e-01    1.4241e+02   -8.0983e-01    1.1198e+00
 2.9000e-01    1.4244e+02   -8.0933e-01    1.1193e+00
 2.9100e-01    1.4246e+02   -8.0884e-01    1.1190e+00
 2.9200e-01    1.4249e+02   -8.0838e-01    1.1184e+00
 2.9300e-01    1.4251e+02   -8.0795e-01    1.1179e+00
 2.9400e-01    1.4253e+02   -8.0756e-01    1.1175e+00
 2.9500e-01    1.4255e+02   -8.0719e-01    1.1173e+00
 2.9600e-01    1.4257e+02   -8.0685e-01    1.1168e+00
 2.9700e-01    1.4259e+02   -8.0655e-01    1.1165e+00
 2.9800e-01    1.4261e+02   -8.0628e-01    1.1162e+00
 2.9900e-01    1.4262e+02   -8.0603e-01    1.1160e+00
 3.0000e-01    1.4264e+02   -8.0580e-01    1.1157e+00
 3.0100e-01    1.4266e+02   -8.0559e-01    1.1155e+00
 3.0200e-01    1.4267e+02   -8.0540e-01    1.1152e+00
 3.0300e-01    1.4269e+02   -8.0523e-01    1.1150e+00
 3.0400e-01    1.4270e+02   -8.0507e-01    1.1148e+00
 3.0500e-01    1.4271e+02   -8.0489e-01    1.1145e+00
 3.0600e-01    1.4273e+02   -8.0470e-01    1.1143e+00
 3.0700e-01    1.4275e+02   -8.0446e-01    1.1140e+00
 3.0800e-01    1.4276e+02   -8.0422e-01    1.1138e+00
 3.0900e-01    1.4278e+02   -8.0397e-01    1.1135e+00
 3.1000e-01    1.4279e+02   -8.0368e-01    1.1133e+00
 3.1100e-01    1.4281e+02   -8.0337e-01    1.1128e+00
 3.1200e-01    1.4283e+02   -8.0305e-01    1.1124e+00
 3.1300e-01    1.4285e+02   -8.0273e-01    1.1122e+00
 3.1400e-01    1.4287e+02   -8.0238e-01    1.1118e+00
 3.1500e-01    1.4289e+02   -8.0201e-01    1.1114e+00
 3.1600e-01    1.4291e+02   -8.0164e-01    1.1111e+00
 3.1700e-01    1.4293e+02   -8.0127e-01    1.1108e+00
 3.1800e-01    1.4295e+02   -8.0092e-01    1.1103e+00
 3.1900e-01    1.4296e+02   -8.0059e-01    1.1101e+00
 3.2000e-01    1.4298e+02   -8.0024e-01    1.1097e+00
 3.2100e-01    1.4300e+02   -7.9987e-01    1.1093e+00
 3.2200e-01    1.4303e+02   -7.9944e-01    1.1088e+00
 3.2300e-01    1.4305e+02   -7.9899e-01    1.1084e+00
 3.2400e-01    1.4307e+02   -7.9852e-01    1.1081e+00
 3.2500e-01    1.4310e+02   -7.9802e-01    1.1076e+00
 3.2600e-01    1.4312e+02   -7.9753e-01    1.1071e+00
 3.2700e-01    1.4315e+02   -7.9705e-01    1.1067e+00
 3.2800e-01    1.4317e+02   -7.9657e-01    1.1063e+00
 3.2900e-01    1.4319e+02   -7.9609e-01    1.1059e+00
 3.3000e-01    1.4322e+02   -7.9561e-01    1.1054e+00
 3.3100e-01    1.4324e+02   -7.9513e-01    1.1050e+00
 3.3200e-01    1.4327e+02   -7.9464e-01    1.1045e+00
 3.3300e-01    1.4329e+02   -7.9414e-01    1.1040e+00
 3.3400e-01    1.4331e+02   -7.9365e-01    1.1035e+00
 3.3500e-01    1.4334e+02   -7.9316e-01    1.1031e+00
 3.3600e-01    1.4336e+02   -7.9266e-01    1.1026e+00
 3.3700e-01    1.4339e+02   -7.9217e-01    1.1021e+00
 3.3800e-01    1.4341e+02   -7.9168e-01    1.1017e+00
 3.3900e-01    1.4343e+02   -7.9117e-01    1.1013e+00
 3.4000e-01    1.4346e+02   -7.9067e-01    1.1008e+00
 3.4100e-01    1.4348e+02   -7.9018e-01    1.1004e+00
 3.4200e-01    1.4350e+02   -7.8969e-01    1.1000e+00
 3.4300e-01    1.4353e+02   -7.8922e-01    1.0995e+00
 3.4400e-01    1.4355e+02   -7.8875e-01    1.0990e+00
 3.4500e-01    1.4357e+02   -7.8829e-01    1.0986e+00
 3.4600e-01    1.4360e+02   -7.8783e-01    1.0982e+00
 3.4700e-01    1.4362e+02   -7.8741e-01    1.0978e+00
 3.4800e-01    1.4364e+02   -7.8703e-01    1.0975e+00
 3.4900e-01    1.4365e+02   -7.8670e-01    1.0971e+00
 3.5000e-01    1.4367e+02   -7.8642e-01    1.0968e+00
 3.5100e-01    1.4369e+02   -7.8617e-01    1.0965e+00
 3.5200e-01    1.4370e+02   -7.8596e-01    1.0963e+00
 3.5300e-01    1.4371e+02   -7.8578e-01    1.0960e+00
 3.5400e-01    1.4372e+02   -7.8562e-01    1.0958e+00
 3.5500e-01    1.4373e+02   -7.8548e-01    1.0957e+00
 3.5600e-01    1.4374e+02   -7.8535e-01    1.0955e+00
 3.5700e-01    1.4375e+02   -7.8524e-01    1.0953e+00
 3.5800e-01    1.4376e+02   -7.8512e-01    1.0951e+00
 3.5900e-01    1.4377e+02   -7.8501e-01    1.0950e+00
 3.6000e-01    1.4378e+02   -7.8491e-01    1.0948e+00
 3.6100e-01    1.4379e+02   -7.8482e-01    1.0946e+00
 3.6200e-01    1.4380e+02   -7.8474e-01    1.0945e+00
 3.6300e-01    1.4381e+02   -7.8466e-01    1.0943e+00
